chromosome	position
10	2799884
10	2799564
10	2799670
1	243129246
5	21700710
4	133825220
3	167473431
2	147300616
10	123373760
10	123374075
6	29350835
6	29350837
6	62545446
5	146846173
5	155959609
5	24157556
5	24157496
6	165631616
8	116625507
6	168359954
5	131620532
5	131620466
5	131624011
1	15071364
6	135887447
10	148974652
8	4108583
8	4108548
2	3805681
7	32626254
7	32625720
7	32625703
4	204347669
3	108707240
2	7292319
2	7292210
1	28446659
1	28446550
8	156868101
7	21799369
5	204822022
5	204822267
6	4802108
6	144666248
3	167473178
3	168698586
10	147402420
10	147402365
8	160391739
8	160391664
2	157292561
2	88613338
3	193758223
4	217022054
6	150887388
6	140311156
6	140311142
6	140311376
2	203633162
2	203633237
6	129361537
6	129361625
2	219552802
9	26593263
9	26593151
5	192167812
5	192167836
1	276075809
2	46342967
7	148179455
7	148179916
7	148179417
3	142695491
8	146890972
5	56777557
5	56777741
5	56777687
9	144308202
10	124064843
1	46065648
1	46065675
1	46065545
2	844170
8	134463928
9	154642462
9	154642451
3	165725255
5	209262778
8	142294302
5	18770133
1	2801226
9	15983101
9	15982995
9	15983096
7	109728151
9	128175473
9	128175669
5	190211048
1	226178055
7	158152065
2	30174011
2	30174064
2	23945047
3	168232371
6	119200356
6	119200431
6	75518548
6	75518248
8	112531510
8	112531519
8	4281604
5	161466302
5	213281711
5	213281689
1	32994296
1	225494226
6	163177371
2	196222087
6	35091169
1	151358199
4	18687134
4	18687170
8	90791109
3	163996290
6	66201646
6	128566486
6	128566599
5	135845492
6	111021934
6	154782030
6	164772982
6	164772984
6	164772897
10	130911877
4	167081664
3	232040582
3	232040512
7	155618965
7	76579953
7	76580092
7	76580336
9	22678247
3	6926847
8	149037965
9	139406597
9	139406446
8	170328680
8	130211321
8	134845523
8	134845699
9	147407394
6	140408366
2	9503481
9	128660807
3	89432165
10	106249324
3	199274499
5	168673145
4	129535403
3	202140574
7	142813643
1	217059217
3	188335251
4	136939128
1	290225724
1	290225856
6	134923311
7	21636688
10	24611535
8	91992733
8	115176442
5	197720714
6	88998636
1	182995323
2	230934478
2	230934317
2	9014041
2	9014014
6	160162437
10	24611844
10	24611766
10	24611602
7	1315401
3	54698138
8	73688230
2	32493171
3	216008196
3	143091027
3	143091136
3	143091129
1	34405610
3	208344329
6	165961492
7	155585873
7	155585880
7	155585967
7	116380162
7	116380151
7	116380730
1	79752844
2	220854803
2	220854935
3	157517726
3	157517789
6	161416400
9	17644364
5	1125118
5	1125056
6	154782129
5	66424545
2	120761523
4	173033919
9	147377801
1	6246273
1	4241458
5	196615221
5	183319662
5	183319751
10	142821482
8	158114000
6	115129650
4	18223130
4	60240871
5	84825002
5	167062100
2	214061043
8	145482802
4	173792613
5	130666621
3	15233962
2	41303599
6	103440291
4	137985349
4	137985389
8	145483761
7	97618781
8	111626288
5	155811345
5	155822626
6	166803016
4	170517994
4	165666018
4	165665906
4	165666032
1	40420899
2	14721161
6	155392527
8	175216162
8	147263791
4	158494800
1	12517303
1	250066619
1	250066755
4	238224629
4	195380023
1	43136421
6	110706652
6	110706907
1	281951996
1	281952051
4	21137817
1	292796839
1	292796831
8	172223358
8	172223355
5	155823473
5	155823485
9	118451193
5	158869149
6	74599737
3	158514003
2	149785951
1	277740868
1	277740777
5	191774964
5	191775060
5	191775120
1	25288174
9	79713981
5	169843408
5	169843416
1	12165573
1	273983604
9	151669951
9	151669900
4	174901927
4	174901846
3	176678535
2	165615855
8	173119869
8	173119839
8	173120034
9	101477041
9	101477038
1	94489355
5	27396181
6	102759826
2	169557589
10	148856547
4	148017780
6	9206135
1	49131053
6	145987482
6	145987264
7	172159526
1	151737526
1	167518265
10	106434361
8	116860676
8	116860677
9	147166935
10	147579602
1	4758551
1	4758589
7	10290906
1	16603698
3	190929423
9	152642049
9	152641948
2	197232099
9	78421440
1	251039363
1	298333053
3	89432844
1	233889742
9	147377897
9	115493300
10	76224506
1	194732553
1	194732532
1	194732460
1	2538655
7	82009709
3	206871456
10	111779224
9	108710347
6	114740777
6	114740934
6	114741030
6	6899137
5	185448035
5	45443600
5	206305590
10	5875385
3	14859654
4	174901821
1	96834915
10	128417510
6	162186556
7	152775966
3	176678852
6	161877666
6	161877896
3	208473528
3	208473577
1	40421351
6	41236561
1	228719761
8	143938905
1	60164914
10	121539359
10	121539134
10	121539182
5	183319499
7	40326592
6	162306848
2	8910492
2	6991717
3	197724539
1	294729252
7	66534513
1	49617492
5	183605416
5	25914902
5	77757611
5	77757700
1	14638995
2	3585220
3	204470467
1	292087762
4	36545089
1	34317549
8	150871266
8	150871515
8	150871255
8	150871339
8	171647408
1	296875324
1	36158110
1	36159836
7	1310254
5	30750461
9	125298382
8	172567941
8	172567911
9	137491329
5	17859992
8	162467087
8	162467150
1	44186977
1	44187132
1	44187081
1	44192331
1	44192259
1	298332980
10	89152612
5	3207080
5	3207115
1	56561450
9	112950524
3	200043556
1	94681297
1	94681210
2	158674708
1	218566508
1	218566512
1	60265393
7	2585256
1	22632923
3	108424484
2	118079796
2	118079809
2	176648322
2	176648315
4	231481152
4	231481030
8	149037561
8	149037804
8	149037784
2	205774079
1	104516100
6	125241378
3	220883531
3	228983258
6	62187685
6	62187756
10	142821793
6	104069482
6	38269388
6	38269324
10	144445119
5	81267278
5	81267320
9	21720743
7	131787182
7	131787374
2	16948700
5	163620453
10	119906832
8	161107591
8	161107593
7	155587564
9	129188812
9	129189031
5	129199465
1	2876641
8	165729299
4	171689062
2	39425469
6	161877574
6	161877581
5	179394335
7	170113992
4	66619001
8	67500219
5	19055458
7	146491993
1	102433381
1	102433560
7	32242587
7	32242588
5	176591486
7	154472747
7	154472759
7	149602954
6	147730330
9	59940211
9	59940132
9	59940232
4	179627089
6	164524780
1	65086379
7	174359401
7	174359522
5	3071971
5	3072040
5	3072055
1	43133594
1	296875316
1	298967209
1	298967104
4	22329916
1	96834774
7	19072513
6	109092661
2	3547133
9	152135298
6	143147300
6	143147251
1	285061831
1	285061900
2	1285099
6	8677058
2	12352131
5	83280401
7	133943770
7	133943876
6	159760565
1	284010179
1	279682094
1	279682066
1	279682237
8	79074727
8	79074879
5	170416039
5	170416164
5	31656107
1	16784593
1	16784467
8	172351409
8	172351442
7	160028348
10	106434461
3	35995146
3	127004566
3	127004420
3	1686779
3	1686795
5	1362747
1	119413086
1	119413065
1	119412945
1	229898591
5	216164529
3	219834845
3	219834970
2	206419348
6	155757023
3	4441981
3	4441883
3	4442049
3	4441913
3	4441991
6	106338299
6	106338311
3	210272544
9	7394666
3	129079466
3	129079259
3	129079375
1	280088179
8	138089176
1	47506391
1	47506409
1	47506911
8	96055015
5	19895562
6	134923944
1	164953949
1	164954166
1	299197287
5	205553153
5	205553141
2	235383778
4	31006734
5	4424473
10	128696703
1	226136399
7	80020341
10	144617058
2	39422453
1	39850240
1	42166775
1	42166456
8	5894265
8	5894383
2	233118751
6	38272169
8	135091236
8	72932141
1	256567682
10	13470326
10	13470282
10	13470225
4	137985508
4	216320622
10	13470210
7	173490178
3	205407666
10	147466538
6	137859665
5	76112983
3	200190232
5	938357
3	156483053
5	74617180
2	195918791
2	189633700
2	189633785
2	189633972
2	189633872
1	259012705
3	89432949
5	81950627
5	81950495
10	10398129
8	116625640
3	181760602
6	155516025
1	226136255
10	147579766
3	188328828
3	215654620
3	215654630
9	92315126
4	224036763
4	224036678
1	299047590
1	69887397
8	169087933
8	122951798
5	30772348
3	47448834
3	47448805
2	174677507
2	174677425
7	13613260
7	13613322
7	13613239
1	60165320
5	212240868
5	142472096
3	64615629
1	289334695
1	289334754
1	289334656
8	102263567
2	4176239
1	278514713
3	175513489
4	182056708
3	2445084
5	24217485
4	12782818
2	844103
3	92535692
3	92535545
3	92535975
3	92535687
2	43202932
7	148328448
8	169088218
2	43202730
4	187296251
1	295427233
1	270980937
5	178041584
1	205410919
4	45266586
5	28790866
8	115028901
7	40327099
7	40327180
7	40327153
5	203036479
4	178502050
6	23725030
4	238955486
3	153926254
1	252930586
1	252930443
8	107953394
3	44223736
7	102133280
7	102133300
7	102133038
2	959006
1	15992259
2	175088917
2	175088884
7	166548892
1	105229590
9	39670481
9	39670617
1	16603761
1	283863246
1	43133467
9	87257058
9	87257297
4	28124580
5	19437923
5	34609754
2	185599968
2	185600132
2	185600119
8	144539720
6	6268008
6	23724906
2	190158725
7	134138810
3	166448477
2	21627989
1	104807915
1	104807970
5	129184409
5	129184455
7	100241568
6	113559709
8	131341661
2	81674105
10	58304069
8	502500
8	502404
3	137228649
3	137228483
3	137228522
6	157369303
6	157369138
3	108424899
7	85637191
7	149915881
3	58484766
3	58484910
3	58484696
8	145802542
8	145802654
8	145802527
2	174982891
2	174982976
9	112107053
6	158208371
6	158208257
6	158208260
7	83149052
5	7724647
3	202799368
2	208673630
8	23771448
7	77304928
6	44381778
4	29793850
4	29793985
4	29793972
1	212983760
1	212983865
4	233845288
2	30906065
4	186507778
1	211624890
7	171735958
7	171734083
1	58364445
1	58364423
10	20409552
8	116860792
8	116860744
3	220506868
3	220506908
5	88658938
8	171213488
8	171213375
5	62265685
1	288854527
1	288855192
1	288855000
5	165656648
6	73905001
6	73904998
2	1285001
8	110988886
8	110988894
2	188055661
2	188055765
3	138122637
3	138122644
1	299560371
3	155960502
1	190747955
1	196589117
8	164866713
7	133943986
8	149044244
2	193497384
2	193497332
2	193497630
2	193497611
3	38240705
5	211978935
4	41032807
7	41740308
3	58714575
6	75517507
4	2526276
4	2526197
2	209927278
2	209927506
8	23771379
1	32542195
10	111843535
4	71986628
6	163869634
6	163869773
6	163869556
3	200702122
1	299559822
3	145737736
1	285227497
4	24909405
9	154548959
2	145019270
7	111658183
7	111659433
7	111659166
7	111659402
9	144307969
5	12274590
3	47849599
3	47849718
2	12102777
1	229898788
1	229898718
6	120879772
6	122126334
9	39670383
1	5740373
1	5740354
1	254986403
1	254986391
4	32530819
8	169088324
1	283862456
10	138191759
9	146305103
9	146305294
3	6304762
8	156625241
3	200702050
9	118451353
8	103312502
10	22125640
6	161416279
7	150290594
7	128121339
7	128121511
7	128121322
4	37023987
4	37023932
4	37023868
10	108378345
10	108378288
10	108378363
9	30844365
8	25015633
8	164188963
8	164188652
10	76224930
7	19497183
5	213908962
1	246817049
5	8134415
5	191361140
9	144297865
5	12567844
5	177663086
1	237087492
1	222720881
5	204628597
7	18222359
8	105567043
8	105566792
4	229902592
5	31131707
8	85863995
8	85864051
10	112093738
5	7724714
10	132702129
8	6856313
1	277849479
3	106957725
5	163228400
5	7996427
1	26150933
5	94443945
6	147656140
5	130501052
3	136163216
5	18452835
5	18452726
5	18452810
5	18452570
6	112512580
6	6268078
6	6268139
4	32530097
3	228720304
7	172580930
1	232180798
3	187053517
6	149823632
6	149823732
6	149823702
6	149823628
2	201417657
3	219786318
9	137413641
2	33346033
1	8558256
10	20409576
2	21283667
4	224036845
1	224079095
8	154682448
8	145842587
8	164866616
7	139358571
3	162743710
8	70199463
3	6926974
5	98651459
3	201685053
8	167092992
8	101178933
10	71465771
5	38478710
1	295450468
5	173389286
6	129664249
10	92133622
4	37348608
2	25310110
2	6474554
8	112677295
10	144469845
5	212682814
6	140913988
9	120363712
4	200539283
3	64615276
3	97781701
7	13174365
10	144061151
7	143208018
4	37230464
7	45150930
3	182279935
1	217587466
8	166078830
6	121697500
6	121697395
4	237391404
10	144616587
1	35578167
2	147311129
2	147311042
2	147310722
3	205627388
1	296575998
8	6023577
1	49621367
5	145869216
7	41732007
5	5289919
8	138794916
4	114693700
1	161615948
3	186432969
3	5674016
1	10096325
2	13851566
8	127489638
6	159768645
4	36210640
10	143674223
10	143674115
7	31773878
7	31773709
3	1631019
3	226481779
4	132212669
4	215267112
6	146415014
3	173587461
2	69704230
2	69704287
6	113558165
9	155683487
1	35579161
2	5819731
1	119653134
4	230885580
3	30057289
4	2999034
4	71640363
5	59271871
6	156592786
1	293795893
1	293795952
1	41104478
1	41104379
1	41104364
1	296891802
1	285522115
5	170416167
7	17520123
7	34185464
5	75935660
1	65086506
4	172522625
8	127113568
8	127113443
1	293150895
2	144729547
3	65830255
2	110826348
1	63891664
1	63891892
3	129976927
8	168273438
1	106159660
3	1298537
3	225099271
9	146915036
7	159131013
1	59582044
4	189041979
4	189042034
2	199180541
5	62595345
7	145729102
1	264533418
6	134461937
3	135907381
3	135907308
2	1268910
7	128121229
3	39822311
1	238343616
6	118604688
3	158354531
1	4193258
2	4692176
10	98999036
5	56019323
3	128907108
8	45262014
8	126550861
8	154682386
8	154682317
7	172769215
7	174785900
1	21468295
5	214074859
1	9052575
1	9052677
5	210299967
8	164859649
10	13493461
9	12104064
9	12103969
1	50096948
2	22504931
2	22505161
6	124146768
1	299197562
2	165668066
2	195036102
8	24530674
3	187930027
2	173250593
2	19918031
2	19917977
8	52299429
7	147716948
7	168255020
3	58294211
2	172144424
4	229180768
4	149284251
1	8353079
8	125316626
3	208473280
6	39892591
6	81693128
5	93579552
5	93579342
4	118700428
10	26987438
10	61954483
10	61954391
10	61954503
3	73964566
8	118280566
6	120640769
6	63950351
6	63950427
10	84610447
10	84610591
1	93492490
8	85123811
6	2395908
6	2395840
2	10516860
1	294729469
5	66831722
5	66831656
5	199226793
1	32543238
1	32543175
10	17602152
1	225130631
4	124359583
3	162743863
2	217281403
2	1094384
8	148078863
7	171232863
1	274531768
1	97039018
1	262720351
5	62200400
10	117991835
1	75768235
2	153510503
1	9304156
1	9304303
3	173473417
5	211177741
1	296905665
4	220606704
2	3081671
1	88998955
9	99848290
5	37720441
5	14060419
1	5327583
8	125007237
8	130408047
9	90969667
8	14068718
3	40528346
3	40528511
1	254094787
3	217695689
8	56203327
7	86047586
1	203587826
1	295450405
4	19597206
8	70512994
9	18898853
2	152235728
10	109804242
8	84066730
5	179195391
10	4072690
5	15138119
4	207265489
4	207265372
3	225454239
2	28394927
1	204757929
5	19247424
3	166377572
7	169095061
3	88528316
7	775637
5	23265300
6	162922101
3	53890967
1	61143070
1	14639175
6	58264144
5	33285056
6	124805125
5	159288407
8	5161464
1	14959203
5	71846587
7	104620055
10	71053038
5	209682546
5	1686096
7	134137353
6	123748714
2	184692191
2	14836855
5	81950336
9	81015267
9	133886984
10	77678052
10	9401386
5	8508510
2	135049555
7	45386174
7	129350989
1	277601629
10	139978756
7	148454000
3	173385007
2	198722781
8	102108063
1	216585033
5	172095659
2	175089309
10	5591691
1	224078702
10	111779138
1	3733167
2	2496390
2	2496677
3	67695082
6	164891527
4	144840177
6	143696195
2	234211936
2	2805975
1	182538809
4	181223123
9	146872957
9	136515135
4	239099536
5	29905933
3	33556885
6	134923548
1	38549611
4	181229893
7	85882473
3	200292358
2	15580132
5	181387208
1	295018337
2	60768437
5	862416
7	167339364
4	15299192
4	15299213
8	169137
3	171444374
8	153895493
5	192848761
4	199784925
3	230745827
2	47158891
4	29170943
4	212747880
5	215833640
3	218484632
5	7855279
2	107189471
10	2454299
1	148458078
3	177144307
3	57656677
7	46481721
3	123862971
5	184494302
2	165263302
5	180737094
9	25727342
5	5928250
10	137995210
6	142454079
5	60774480
6	163983562
6	60193725
2	230934520
1	102584146
4	72052851
1	67524025
5	21893193
5	21893051
6	146120566
6	168976337
5	78382179
4	173601521
3	218898682
6	151787942
2	133841755
9	42836344
9	42836289
1	4608015
2	62925652
3	138624226
2	190159924
9	97246219
5	186726432
1	24941000
2	159987784
2	159987717
10	71361825
10	71361885
2	86790349
4	186040517
4	186040520
8	14778018
1	282796367
7	157280899
2	130956031
2	130956103
4	149276923
2	194361466
4	150464779
4	150464488
10	106792585
3	11649362
3	203579387
8	116625263
4	139810
1	103826410
8	77590436
1	287063457
6	31412258
5	89318174
5	193730819
8	130730669
9	76759828
6	35896206
6	140409576
6	82967363
6	82967445
3	170110486
4	233627714
4	209800191
2	162471818
5	66432514
5	66432703
5	66432443
9	44336288
6	145649201
4	3048559
6	57538273
6	57538539
3	215850087
4	147915924
4	216608367
7	150087743
8	11485052
1	281709021
10	124327829
8	171174469
4	82893043
3	201931976
5	20199664
4	1265191
4	96807714
8	129622670
1	44370563
1	44370121
5	10797882
5	10797742
5	10797803
4	35918682
4	65820542
4	65820699
3	195315641
7	143203880
4	211197476
5	20200581
5	92369229
6	9144627
6	9144765
1	241298211
4	171126301
3	18638996
7	158299030
5	211666584
4	47513765
10	59878382
1	36509700
6	159694555
5	67671903
3	181654006
3	181654092
3	181654172
3	221158246
7	47398516
3	70674640
3	70674557
4	84107118
4	84106770
4	121839155
4	121839521
4	168559296
8	43847629
2	196143405
7	81306442
1	256423394
8	161840555
1	264224831
1	138906534
8	131678990
8	131678781
8	131678695
7	149133439
10	135169222
10	135169119
10	149300602
1	88962540
1	88962260
8	78075070
2	68741469
5	63711125
9	17000218
5	61073592
1	195720690
9	16675570
3	57148315
3	57148664
3	57148746
2	18204855
1	222622862
6	164534794
5	60002820
5	60002641
9	114072155
7	63311886
9	66924310
7	126412156
2	66623517
10	71162656
4	110073607
2	49729138
2	49681915
10	36249609
5	62202406
1	65224306
10	139316531
3	124643149
5	191472354
8	107089606
8	119041845
1	10093142
1	10095032
3	5985118
2	189445632
10	93686555
2	160151582
8	109163573
8	109163885
7	162810949
1	217587254
1	291104706
1	12989714
10	139122712
9	154462370
9	154462580
7	146896238
4	195379743
2	236356320
5	7143039
10	105042613
8	163113635
9	93380670
9	93380517
9	93381704
9	93381460
9	93381596
4	66909481
10	142193929
8	142668279
8	142668186
8	129959549
8	129959440
8	129959226
5	194044599
5	194044461
7	20245641
7	20245739
7	20245846
7	20246045
1	220006906
1	220006320
1	220006396
1	220006184
2	21284852
8	119831316
8	119831166
2	198115122
4	29349094
4	29348922
7	84844392
7	84844509
3	187032011
3	187032255
3	187030890
8	147725401
8	147726125
4	160936983
4	160937139
2	176727540
2	176728873
2	176728705
1	14509380
1	242143315
1	242142924
1	242148892
6	79464003
9	135267973
1	49415130
1	49413197
1	49413137
7	72251247
7	72251309
7	72250317
7	72250440
7	72250209
5	11949525
5	201608548
1	201847455
2	169541845
2	169540768
8	156908665
8	156908735
8	156907814
8	156907918
8	156907583
8	156906819
8	156906977
2	7525232
2	7524385
5	172576140
4	65821931
4	65751154
10	121755160
10	121755421
10	121753404
10	121753335
5	176219732
7	45152040
7	45151094
7	45151009
3	182280462
7	138911939
1	44373656
1	53344090
2	7516507
2	7515939
4	65960113
4	65958745
4	65958997
4	230800361
4	230800298
2	58470691
7	7279886
9	83340914
9	83329562
1	56289258
5	181588954
5	181591195
2	47509287
2	47508409
5	162835530
5	162836647
5	80719678
5	80720324
9	34845691
8	70201052
5	69119630
5	61672051
1	269324476
3	124732660
7	150661408
7	150661479
1	269322794
1	269323156
1	269323158
3	9311966
1	277152107
2	9447086
4	157210342
4	123980216
9	140215009
1	287292659
1	188182081
7	110331867
7	110331886
5	10101416
5	10101413
9	146686260
5	20082786
3	154661620
3	154661254
4	157210020
5	64118796
5	64118657
9	34632675
6	131158004
1	241223414
3	124732596
6	113237616
5	33051930
5	33051737
8	125314003
7	167239060
7	167238710
2	108634017
5	168452260
6	82020932
1	17667362
1	17666998
7	136868163
9	86863679
10	59516553
5	33052110
4	216707012
6	144565746
3	223839842
1	173992617
1	173992552
5	133502506
4	210690455
9	22103451
1	125076712
1	203171924
7	4236854
2	202921418
3	196440788
9	24069690
9	24069231
10	134413440
5	69120089
9	63685643
1	202550766
3	152202763
7	125103467
7	125103412
10	99370482
2	38560722
2	201680242
2	201680372
2	201678414
5	60806689
2	148507606
10	10196606
10	10196472
6	144566115
5	168453145
5	3147342
1	286507323
1	286507154
1	286449514
1	286449662
1	286449597
1	286359450
1	271346165
9	128411846
9	128412180
9	128412001
9	128412063
9	139748775
3	204358640
8	147095202
3	214279602
3	231111776
10	146294693
2	142532896
6	146119688
7	14464574
7	14464664
7	14465153
4	29170616
5	123964811
5	12381902
5	12382438
1	231703173
1	34408551
1	34408391
3	157515810
9	120879970
3	163744180
3	163743968
9	115492329
8	173554041
6	64523209
6	64520103
8	116305315
8	116305551
9	101476999
9	101477167
9	114178495
1	9058572
3	180000107
3	169220967
1	299528185
1	26202944
9	24478964
9	24479054
9	24479177
3	27553684
8	17391693
8	17391372
8	17391944
8	17391613
5	189199651
2	21040809
2	21041118
2	21041032
2	21040958
2	21036649
5	64119556
5	64119673
5	185414303
2	27482708
2	27482375
4	118066179
4	118065705
1	28421841
5	93237919
1	50036334
2	162964512
3	149241189
7	127859893
2	3185737
8	124653417
2	22881628
2	22881213
9	115594115
5	205551779
7	9257494
2	162977754
2	162977479
10	114289360
5	200367532
2	2496378
2	2496601
9	61357141
9	28610397
5	83860601
1	287291630
7	170962003
9	107417303
9	107416972
3	195314399
8	129622719
8	129622792
10	142190819
3	162800088
3	165178026
3	165176818
3	137229812
1	4877306
1	4862839
1	4862689
2	235853547
2	235853110
2	235852920
4	178894533
4	178888884
4	178888136
10	30868206
3	158982309
1	277310887
1	277311204
1	277311936
1	277310968
2	192234820
7	164413785
9	17019800
1	194021224
5	177231965
7	2073165
1	266095836
4	133663860
1	292891218
1	70581280
1	4863691
1	265738697
1	265739072
1	265652447
1	23241186
1	23242215
5	28679417
5	29051943
5	29067031
5	29177528
5	29177675
5	29177986
9	62749814
9	62749845
9	62750164
9	63126013
9	63126036
9	63170680
9	111116036
9	120803707
9	120877404
9	120878022
9	120881717
9	120881924
9	120884026
9	120884478
9	121028871
9	121076380
1	161457991
1	161460540
1	202647025
1	202649407
1	202758306
1	202919228
1	202995668
1	202998070
2	49681375
2	49681620
2	49720351
9	51889350
4	103767842
4	103779995
4	104443402
8	47196895
8	47270402
8	47306893
8	47590854
8	47621932
8	47622119
8	47733073
8	47832010
8	48125877
8	48127258
8	48155645
1	157104
1	379844
1	485953
1	613257
1	659354
1	681011
1	681704
1	763589
1	824379
1	982217
1	992572
1	993764
1	999471
1	999598
1	1205781
1	1567151
1	1568998
1	1666173
1	1686635
1	1761938
1	1968281
1	2038772
1	2039864
1	2043319
1	2043987
1	2044238
1	2044555
1	2045035
1	2045583
1	2301705
1	2306521
1	2428671
1	2687631
1	2895697
1	3027386
1	3040632
1	3270679
1	3278670
1	3282920
1	3284839
1	3356688
1	3360440
1	3361968
1	3362674
1	3665549
1	3742478
1	3830498
1	3882714
1	4150727
1	4609260
1	4609477
1	4610354
1	4452253
1	4796398
1	4993529
1	5247339
1	5540876
1	5653264
1	5809260
1	5732049
1	5954473
1	6242103
1	6411540
1	6431690
1	6535828
1	6547772
1	6777249
1	6844300
1	7087062
1	7347504
1	7688437
1	7715511
1	7824668
1	7861023
1	7866418
1	7998309
1	8032199
1	8100477
1	8623017
1	8633468
1	8633823
1	8634520
1	9305229
1	9305256
1	9435372
1	9435426
1	9562206
1	9581910
1	9809995
1	9922610
1	9956621
1	9992144
1	10096183
1	10361222
1	10533538
1	10537070
1	10539039
1	10542800
1	10585225
1	10589088
1	10672720
1	10736892
1	10820153
1	10826196
1	10839107
1	10844119
1	10897853
1	10900905
1	10905137
1	10905399
1	10962375
1	10995423
1	11110601
1	11392013
1	11392132
1	11392392
1	11399303
1	11473826
1	11488064
1	11488397
1	11488804
1	11532836
1	11546601
1	11761103
1	12149892
1	12251110
1	12352106
1	12362508
1	12397056
1	12487014
1	12498324
1	12518476
1	12519269
1	12522242
1	12570280
1	12822345
1	12946006
1	13559407
1	13739473
1	14032344
1	14168358
1	14507453
1	14510261
1	14639024
1	14807352
1	14818025
1	14847409
1	14852801
1	14859085
1	14859571
1	15728580
1	15729259
1	15739094
1	15781985
1	15783656
1	15808888
1	15907469
1	15989724
1	16178511
1	16201810
1	16348038
1	16348917
1	16437971
1	16469406
1	16598661
1	16602399
1	16626785
1	16788319
1	16788736
1	16802074
1	16826343
1	17493297
1	17528163
1	17695889
1	17715789
1	17739746
1	17748552
1	17828621
1	17832205
1	17843007
1	17850815
1	17963080
1	17963743
1	17976792
1	18190764
1	18198129
1	18199120
1	18201645
1	18202585
1	18202725
1	18202851
1	18206983
1	18293950
1	18294522
1	18643856
1	18758909
1	18957087
1	18984396
1	18986228
1	19080916
1	19099272
1	19100675
1	19103803
1	19236353
1	19262378
1	19346576
1	19640811
1	19696230
1	19696259
1	19699932
1	19791776
1	19792097
1	19974787
1	20096765
1	20096805
1	20096952
1	20287508
1	20529530
1	20643488
1	20907601
1	20915191
1	20916117
1	20916210
1	20992314
1	20993649
1	20999934
1	21074756
1	21084055
1	21206083
1	21381552
1	21389891
1	21682502
1	21684527
1	21710836
1	21722308
1	21758352
1	21984148
1	21984783
1	21991763
1	22375781
1	22383310
1	22383989
1	22463751
1	22645687
1	22774453
1	22874170
1	23054862
1	23218696
1	23564131
1	23563301
1	23610626
1	23615254
1	23615962
1	23618315
1	23939622
1	23965965
1	24052120
1	24194242
1	24203717
1	24203774
1	24296248
1	24408873
1	24507957
1	24510735
1	24584605
1	24735390
1	24931201
1	25101603
1	25287214
1	25371750
1	25378468
1	25378735
1	25381332
1	25387147
1	25387503
1	25392977
1	25400235
1	25623520
1	25451848
1	25452076
1	25635415
1	25710814
1	25878895
1	25884891
1	26433039
1	26433098
1	26433514
1	26496101
1	26574295
1	26574712
1	26578028
1	26683529
1	26685796
1	26692135
1	26694328
1	26695589
1	26915317
1	26916269
1	26917064
1	26948708
1	27085346
1	27379439
1	27394586
1	27400077
1	27403703
1	27502892
1	27552783
1	27555261
1	27626654
1	27647570
1	27776090
